annotatorID,language,question,translation,code,langID,nllb,gtr,wiki,wiki-size,acl,family,branch,morphology,script,order,region,speakers,proofed
301,Samoan,E fa'afefea ona ta palolo?,"How do you catch ""palolo""?",sm-01,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Pe fa'apefea ona avea Nafanua ma ali'i tau?,How did Nafanua become a goddess of war?,sm-02,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Aisea e fa'ataga ai na'o tama'ita'i Samoa e ta latou malu?,"Why are only Samoan women allowed to wear the ""malu""?",sm-03,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Aisea e fa'asa ai na fa'atautau lauulu i le po?,Why are we forbidden from wearing our hair down at night?,sm-04,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,O le a le tupuaga o 'ie toga?,What is the origin of 'ie toga (Samoan fine mats)?,sm-05,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,"O fea e tupuga mai ai le tala Samoa faimai ""O tuafafine o iomata ia a a latou tuagane?""","Where does the Samoan saying ""The sister is the pupil of her brother's eye"" originate from?",sm-06,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,E fa'afefea ona fai le palusami?,How do you prepare palusami?,sm-07,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Aisea e taua ai 'ie toga i le aganu'u fa'asamoa?,Why are the 'ie toga (Samoan fine mats) important in the Samoan culture?,sm-08,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Fa'afefea ona maua e se tama'ita'i le tulaga lea o le taupou?,How would a lady receive the status of a taupou?,sm-09,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,O a ni tapu o le ave ma Matai?,What are the restrictions on becoming a matai?,sm-10,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,O le a ua faatusa i ai le aeto i luga o le fu'a?,What does the eagle on the flag represent?,sm-11,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,O le a le eseesega o Amerika Samoa ma Tutuila?,What is the difference between American Samoa and Tutuila?,sm-12,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,"Aisea e fa'amalosia ai ona tatou foa'i atu tupe, 'ie toga, ma mea'ai pe a maliu se tasi o tagata o le aiga?","Why is it mandatory for us to gift money, 'ie toga, and food items when a relative passes away?",sm-13,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Aisea e fa'atagaina ai na'o tagata aganu'u e umia fanua?,Why are only U.S. Nationals allowed to own land?,sm-14,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,E fa'apefea ona filifilia le au Senators?,How are the Sentators chosen?,sm-15,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,O le a le aoga o le Sa?,What is the purpose of having a mandatory village curfew?,sm-16,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,E fa'afefea ona ta'ua Tagaloa na ia faia le motu o Samoa?,How is Tagaloa credited to having created the Samoan islands?,sm-17,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,E fa'afefea ona fai le kava?,How is kava created?,sm-18,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Fa'apefea ona o'o le kalo i le motu o Amelika Samoa?,How did taro reach the island of American Samoa?,sm-19,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Fa'apefea ona amata le tu ma aga a le taupou e ofu le 'ie toga pe a siva fa'asamoa?,How did the tradition of a taupou wearing an 'ie toga during a Samoan dance begin?,sm-20,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Aisea e faia ai faiava mo tagata o loo faimalaga?,Why is an 'aiava' conducted for people planning on travelling to another place?,sm-21,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Aisea e ese'ese ai tupe a Amerika Samoa ma tupe a Apia?,How come money currencies are different in American Samoa and Apia?,sm-22,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Aisea ua le toe iai ni tagata e nonofo i le Swains Island?,Why are there no inhabitants on Swains Island?,sm-23,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
301,Samoan,Aisea e fa'aoga ai ili tapili mo nisi siva fa'asamoa?,Why are hand fans sometimes used in the Samoan dance?,sm-24,sm,TRUE,TRUE,TRUE,1096,76,Austronesian,Malayo-Polynesian,analytic,Latin,VSO,Samoa,510K,FALSE
